AGENCY,COUNTY,ORI
ORONOCO PD,OLMSTED,MN0550500
ORTONVILLE PD,BIG STONE,MN0060100
SHERIFF'S OFFICE,BIG STONE,MN0060000
OSAKIS PD,DOUGLAS,MN0210200
OSSEO PD,HENNEPIN,MN0271600
MAPLE GROVE PD,HENNEPIN,MN0272700
OWATONNA PD,STEELE,MN0740100
SHERIFF'S OFFICE,STEELE,MN0740000
PALISADE PD,AITKIN,MN0010300
PARK RAPIDS PD,HUBBARD,MN0290100
SHERIFF'S OFFICE,HUBBARD,MN0290000
PARKERS PRAIRIE PD,OTTER TAIL,MN0560800
PAYNESVILLE PD,STEARNS,MN0730300
PELICAN RAPIDS PD,OTTER TAIL,MN0560200
PEQUOT LAKES PD,CROW WING,MN0181100
PERHAM PD,OTTER TAIL,MN0560300
PINE CITY PD,PINE,MN0580100
SHERIFF'S OFFICE,PINE,MN0580000
PINE ISLAND PD,GOODHUE,MN0250200
PINE RIVER PD,CASS,MN0110500
PIPESTONE PD,PIPESTONE,MN0590100
SHERIFF'S OFFICE,PIPESTONE,MN0590000
PLAINVIEW PD,WABASHA,MN0790200
PLYMOUTH PD,HENNEPIN,MN0271700
PORTER PD,YELLOW MEDICINE,MN0870600
PRESTON PD,FILLMORE,MN0230400
SHERIFF'S OFFICE,FILLMORE,MN0230000
PRINCETON PD,MILLE LACS,MN0480200
PRIOR LAKE PD,SCOTT,MN0700900
PROCTOR PD,ST. LOUIS,MN0691300
RACINE PD,MOWER,MN0500800
RAMSEY PD,ANOKA,MN0021300
RAYMOND PD,KANDIYOHI,MN0340400
RED LAKE FALLS PD,RED LAKE,MN0630100
SHERIFF'S OFFICE,RED LAKE,MN0630000
RED WING PD,GOODHUE,MN0250300
SHERIFF'S OFFICE,GOODHUE,MN0250000
REDWOOD FALLS PD,REDWOOD,MN0640200
SHERIFF'S OFFICE,REDWOOD,MN0640000
RENVILLE PD,RENVILLE,MN0650400
RICE PD,BENTON,MN0050300
RICHFIELD PD,HENNEPIN,MN0271800
RICHMOND PD,STEARNS,MN0730700
ROBBINSDALE PD,HENNEPIN,MN0271900
ROCHESTER PD,OLMSTED,MN0550100
HIGHWAY PATROL,N/A,MNMHP0200
SHERIFF'S OFFICE,OLMSTED,MN0550000
ROGERS PD,HENNEPIN,MN0273400
ROSE CREEK PD,MOWER,MN0500900
ROSEAU PD,ROSEAU,MN0680100
SHERIFF'S OFFICE,ROSEAU,MN0680000
ROSEMOUNT PD,DAKOTA,MN0190500
APPLE VALLEY PD,DAKOTA,MN0191000
ROSEVILLE PD,RAMSEY,MN0620800
ROTHSAY PD,WILKIN,MN0840400
ROUND LAKE PD,NOBLES,MN0530500
RUSH CITY PD,CHISAGO,MN0130100
RUSHFORD PD,FILLMORE,MN0230500
RUSHMORE PD,NOBLES,MN0530600
SACRED HEART PD,RENVILLE,MN0651000
SANBORN PD,REDWOOD,MN0640500
SANDSTONE PD,PINE,MN0580200
SARTELL PD,STEARNS,MN0731200
SAUK CENTRE PD,STEARNS,MN0730500
SAUK RAPIDS PD,BENTON,MN0050200
SAVAGE PD,SCOTT,MN0700600
SCANLON PD,CARLTON,MN0090400
SEBEKA PD,WADENA,MN0800200
SHAKOPEE PD,SCOTT,MN0700400
SHERIFF'S OFFICE,SCOTT,MN0700000
SHELLY PD,NORMAN,MN0540300
SHERBURN PD,MARTIN,MN0460200
SHERIFF'S OFFICE,AITKIN,MN0010000
SHERIFF'S OFFICE,ANOKA,MN0020000
SHERIFF'S OFFICE,BELTRAMI,MN0040000
SHERIFF'S OFFICE,BECKER,MN0030000
SHERIFF'S OFFICE,BENTON,MN0050000
SHERIFF'S OFFICE,BIG STONE,MN0060000
SHERIFF'S OFFICE,BLUE EARTH,MN0070000
SHERIFF'S OFFICE,BROWN,MN0080000
SHERIFF'S OFFICE,CARLTON,MN0090000
SHERIFF'S OFFICE,CARVER,MN0100000
SHERIFF'S OFFICE,CASS,MN0110000
SHERIFF'S OFFICE,CHISAGO,MN0130000
SHERIFF'S OFFICE,CHIPPEWA,MN0120000
SHERIFF'S OFFICE,CLEARWATER,MN0150000
SHERIFF'S OFFICE,CLAY,MN0140000
SHERIFF'S OFFICE,COOK,MN0160000
SHERIFF'S OFFICE,COTTONWOOD,MN0170000
SHERIFF'S OFFICE,CROW WING,MN0180000
SHERIFF'S OFFICE,DAKOTA,MN0190000
SHERIFF'S OFFICE,DOUGLAS,MN0210000
SHERIFF'S OFFICE,DODGE,MN0200000
SHERIFF'S OFFICE,FARIBAULT,MN0220000
SHERIFF'S OFFICE,FILLMORE,MN0230000
SHERIFF'S OFFICE,FREEBORN,MN0240000
SHERIFF'S OFFICE,GOODHUE,MN0250000
SHERIFF'S OFFICE,GRANT,MN0260000
SHERIFF'S OFFICE,HENNEPIN,MN0270000
SHERIFF'S OFFICE,HOUSTON,MN0280000
SHERIFF'S OFFICE,HUBBARD,MN0290000
SHERIFF'S OFFICE,ISANTI,MN0300000
SHERIFF'S OFFICE,ITASCA,MN0310000
SHERIFF'S OFFICE,JACKSON,MN0320000
SHERIFF'S OFFICE,KANABEC,MN0330000
SHERIFF'S OFFICE,KANDIYOHI,MN0340000
SHERIFF'S OFFICE,KITTSON,MN0350000
SHERIFF'S OFFICE,KOOCHICHING,MN0360000
SHERIFF'S OFFICE,LAKE OF THE WOODS,MN0390000
SHERIFF'S OFFICE,LAC QUI PARLE,MN0370000
SHERIFF'S OFFICE,LAKE,MN0380000
SHERIFF'S OFFICE,LE SUEUR,MN0400000
SHERIFF'S OFFICE,LINCOLN,MN0410000
SHERIFF'S OFFICE,LYON,MN0420000
SHERIFF'S OFFICE,MARTIN,MN0460000
SHERIFF'S OFFICE,MAHNOMEN,MN0440000
SHERIFF'S OFFICE,MARSHALL,MN0450000
SHERIFF'S OFFICE,MCLEOD,MN0430000
SHERIFF'S OFFICE,MEEKER,MN0470000
SHERIFF'S OFFICE,MILLE LACS,MN0480000
SHERIFF'S OFFICE,MOWER,MN0500000
SHERIFF'S OFFICE,MORRISON,MN0490000
SHERIFF'S OFFICE,MURRAY,MN0510000
